t	y	dy	ddy
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.320000000000000173e-01
9.524931511151788854e-05	3.012047433698792789e-09	3.162277261702394388e-05	3.319999999999523888e-01
1.904986302230357771e-04	9.036142301095514377e-09	6.324554523403426746e-05	3.319999999998095030e-01
1.019049863022303444e-02	1.724149158113467132e-05	3.383245473642677165e-03	3.319999856818720563e-01
2.019049863022303465e-02	6.767394487300972287e-05	6.703244978062376444e-03	3.319999152020741695e-01
3.019049863022303312e-02	1.513063872476957201e-04	1.002324322131520340e-02	3.319997334485113583e-01
3.202643313182779866e-02	1.702679337441400471e-04	1.063277294149441235e-02	3.319996844462347885e-01
3.386236763343256073e-02	1.903485366696831545e-04	1.124230256624737627e-02	3.319996294946295778e-01
3.569830213503732280e-02	2.115481959648288245e-04	1.185183208433843345e-02	3.319995682526494796e-01
4.569830213503732474e-02	3.466664840463801580e-04	1.517182545027890087e-02	3.319991049354667489e-01
5.569830213503731975e-02	5.149846770133127217e-04	1.849181292379506805e-02	3.319983897678449036e-01
6.569830213503731475e-02	7.165027015642041293e-04	2.181179171083411084e-02	3.319973676400985729e-01
7.569830213503730976e-02	9.512204538273534267e-04	2.513175846625433085e-02	3.319959834441336688e-01
8.569830213503730476e-02	1.219137794005498848e-03	2.845170929384403108e-02	3.319941820740566207e-01
9.569830213503729976e-02	1.520254540584037349e-03	3.177163974634714116e-02	3.319919084268868614e-01
1.056983021350372948e-01	1.854570464820746610e-03	3.509154482549640963e-02	3.319891074033686218e-01
1.156983021350372898e-01	2.222085285235882168e-03	3.841141898205521071e-02	3.319857239088836454e-01
1.256983021350372987e-01	2.622798662102742394e-03	4.173125611586898931e-02	3.319817028544642667e-01
1.356983021350373075e-01	3.056710191938796263e-03	4.505104957592735021e-02	3.319769891579069654e-01
1.456983021350373164e-01	3.523819401997497873e-03	4.837079216043773527e-02	3.319715277449866719e-01
1.556983021350373253e-01	4.024125744760892638e-03	5.169047611691181265e-02	3.319652635507711058e-01
1.656983021350373342e-01	4.557628592433161756e-03	5.501009314226545238e-02	3.319581415210360320e-01
1.756983021350373431e-01	5.124327231435236128e-03	5.832963438293341935e-02	3.319501066137802159e-01
1.856983021350373519e-01	5.724220856900640204e-03	6.164909043499964408e-02	3.319411038008412418e-01
1.956983021350373608e-01	6.357308567172713192e-03	6.496845134434421631e-02	3.319310780696111962e-01
2.056983021350373697e-01	7.023589358303397590e-03	6.828770660680798243e-02	3.319199744248524930e-01
2.156983021350373786e-01	7.723062118553762449e-03	7.160684516837585722e-02	3.319077378906140074e-01
2.256983021350373875e-01	8.455725622896459112e-03	7.492585542537974486e-02	3.318943135122464638e-01
2.356983021350373964e-01	9.221578527520306323e-03	7.824472522472217251e-02	3.318796463585186318e-01
2.456983021350374052e-01	1.002061936433722676e-02	8.156344186412149699e-02	3.318636815238322213e-01
2.556983021350374141e-01	1.085284653549174229e-02	8.488199209237982934e-02	3.318463641305367529e-01
2.656983021350374230e-01	1.171825830787326904e-02	8.820036210967457935e-02	3.318276393313441264e-01
2.756983021350374319e-01	1.261685280763145435e-02	9.151853756787468874e-02	3.318074523118417218e-01
2.856983021350374408e-01	1.354862801469479752e-02	9.483650357088238558e-02	3.317857482931049762e-01
2.956983021350374496e-01	1.451358175729282676e-02	9.815424467500166728e-02	3.317624725344088810e-01
3.056983021350374585e-01	1.551171170648209599e-02	1.014717448893343033e-01	3.317375703360379013e-01
3.156983021350374674e-01	1.654301537067628947e-02	1.047889876762045230e-01	3.317109870421943163e-01
3.256983021350374763e-01	1.760749009018071354e-02	1.081059559516131807e-01	3.316826680440049802e-01
3.356983021350374852e-01	1.870513303173148428e-02	1.114226320857225755e-01	3.316525587826257282e-01
3.456983021350374941e-01	1.983594118303972503e-02	1.147389979033726776e-01	3.316206047524435374e-01
3.556983021350375029e-01	2.099991134734109990e-02	1.180550346846300086e-01	3.315867515043761093e-01
3.656983021350375118e-01	2.219704013795097131e-02	1.213707231653698981e-01	3.315509446492684864e-01
3.756983021350375207e-01	2.342732397282558041e-02	1.246860435378932402e-01	3.315131298613862576e-01
3.856983021350375296e-01	2.469075906912956628e-02	1.280009754515786247e-01	3.314732528820052426e-01
3.956983021350375385e-01	2.598734143781018108e-02	1.313154980135708694e-01	3.314312595230973213e-01
4.056983021350375473e-01	2.731706687817858289e-02	1.346295897895069260e-01	3.313870956711116311e-01
4.156983021350375562e-01	2.867993097249858098e-02	1.379432288042799770e-01	3.313407072908510220e-01
4.256983021350375651e-01	3.007592908058320802e-02	1.412563925428428901e-01	3.312920404294434906e-01
4.356983021350375740e-01	3.150505633439954628e-02	1.445690579510517382e-01	3.312410412204077059e-01
